Text_Size,Image_Size,Digital_Challenges,Application_Challenges,age,Tech_Comfort,Student_Status,Education_Level,Current_Device
36,200,[3],[1],27.0,4,1,6.0,1
12,260,[],[2],20.0,5,1,,2
16,375,[],[],50.0,5,1,6.0,3
18,300,[],[1],46.0,5,1,6.0,3
20,350,[],[1],25.0,5,0,6.0,3
16,225,[],[1],28.0,5,1,3.0,3
18,350,[1],[1],50.0,4,0,6.0,3
17,275,"[4, 0]","[4, 5, 7, 0]",22.0,4,1,4.0,3
18,300,[3],"[1, 2, 5]",26.0,4,1,6.0,3
15,250,[4],"[1, 5, 6, 7]",28.0,3,1,,3
22,350,[1],[1],66.0,5,0,4.0,3
13,210,[3],[5],30.0,5,1,5.0,3
44,350,[1],"[1, 4]",65.0,2,0,,3
28,293,[1],[1],44.0,2,0,6.0,3
15,275,[3],[1],27.0,5,0,5.0,3
21,270,[],[1],28.0,4,0,4.0,3
17,500,[4],[],47.0,2,0,4.0,3
11,210,[],[],34.0,5,1,1.0,3
25,250,[],[],25.0,5,1,6.0,3
18,288,[1],"[1, 5]",,4,0,,3
22,275,[],[],21.0,4,1,4.0,3
16,275,[],"[1, 3, 6]",42.0,5,0,5.0,3
15,300,[],[],25.0,5,1,4.0,3
16,270,[],[1],52.0,4,0,8.0,3
24,315,[],[1],42.0,4,1,4.0,3
23,500,[1],"[1, 2, 5]",49.0,5,1,6.0,2
15,375,[],[],43.0,4,0,,1
15,300,[],[5],22.0,5,0,6.0,2
19,375,"[1, 3]","[1, 3, 6]",43.0,4,0,8.0,1
16,250,[1],[1],40.0,4,1,6.0,3
